hdi_group,lang,requested_page_type,n_sections
bottom20_developing,en,economy,77
bottom20_developing,en,main,80
bottom20_developing,en,politics,83
bottom20_developing,es,economy,63
bottom20_developing,es,main,80
bottom20_developing,es,politics,64
bottom20_developing,fr,economy,80
bottom20_developing,fr,main,80
bottom20_developing,fr,politics,74
bottom20_developing,ru,economy,79
bottom20_developing,ru,main,80
bottom20_developing,ru,politics,72
middle20,en,economy,79
middle20,en,main,80
middle20,en,politics,94
middle20,es,economy,66
middle20,es,main,80
middle20,es,politics,76
middle20,fr,economy,73
middle20,fr,main,80
middle20,fr,politics,81
middle20,ru,economy,75
middle20,ru,main,80
middle20,ru,politics,70
top20_developed,en,economy,80
top20_developed,en,main,80
top20_developed,en,politics,100
top20_developed,es,economy,74
top20_developed,es,main,80
top20_developed,es,politics,77
top20_developed,fr,economy,80
top20_developed,fr,main,77
top20_developed,fr,politics,89
top20_developed,ru,economy,77
top20_developed,ru,main,80
top20_developed,ru,politics,74
